current_date,sell_price,buy_price,available
2024-05-20,312.28,297.19,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-21,311.06,296.03,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-22,311.81,296.73,dostępny
2024-05-22,311.81,296.73,dostępny
2024-05-22,307.91,292.97,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-23,305.69,290.85,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-23 12:19,305.71,290.87,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-23 12:20,305.71,290.87,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-23 17:16,303.14,288.40,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-23 22:15,302.02,287.31,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-24 12:30,301.43,286.76,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-24 17:15,300.75,286.11,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-24 22:15,300.76,286.12,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-25 12:29,300.76,286.12,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-25 17:16,300.76,286.12,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-25 22:15,300.76,286.12,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-26 12:28,300.76,286.12,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-26 17:14,300.76,286.12,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-26 22:14,301.31,286.64,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-27 12:31,303.01,288.28,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-27 17:13,303.56,288.81,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-27 22:14,303.55,288.80,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-28 12:31,302.31,287.62,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-28 16:23,303.33,288.60,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-28 17:15,302.67,287.96,Ten produkt nie jest dostępny w sklepie stacjonarnym
2024-05-28 17:20,302.67,287.96,Ten produkt nie jest dostępny w sklepie stacjonarnym
